#term	term_size	term_size_in_genome	list1_positives	list1_negatives	list1_percentage	list2_positives	list2_negatives	list2_percentage	list1_positive_ids	list2_positive_ids	odds_ratio_log	pvalue	adj_pvalue
hsa04012	58	88	12	941	1.26	46	18139	0.25	AKT2,AREG,ELK1,FOXC1,FOXL1,HRAS,MTOR,MZF1,NCK2,NRAS,PAK1,SHC1	ENSG00000002330,ENSG00000051382,ENSG00000058404,ENSG00000065559,ENSG00000076984,ENSG00000077264,ENSG00000078061,ENSG00000097007,ENSG00000099942,ENSG00000100485,ENSG00000101349,ENSG00000102882,ENSG00000109339,ENSG00000111276,ENSG00000113070,ENSG00000117461,ENSG00000121879,ENSG00000124181,ENSG00000124762,ENSG00000124882,ENSG00000126934,ENSG00000129946,ENSG00000130669,ENSG00000133703,ENSG00000137843,ENSG00000138798,ENSG00000141506,ENSG00000141736,ENSG00000142208,ENSG00000142273,ENSG00000143322,ENSG00000145349,ENSG00000146648,ENSG00000148082,ENSG00000154229,ENSG00000157168,ENSG00000158092,ENSG00000169398,ENSG00000171608,ENSG00000173757,ENSG00000174808,ENSG00000175634,ENSG00000178568,ENSG00000180370,ENSG00000187840,ENSG00000197122	1.6151417091E0	2.31733E-5	1.1239E-3
hsa04062	134	187	19	934	1.99	115	18070	0.63	AKT2,CCL13,CCL22,CCL3,CCL8,CCR7,CHUK,CXCL1,ELK1,FOXC1,FOXL1,GSK3A,HRAS,MZF1,NRAS,PAK1,SHC1,STAT2,WASL	ENSG00000000938,ENSG00000006074,ENSG00000006210,ENSG00000015285,ENSG00000051382,ENSG00000067560,ENSG00000067606,ENSG00000067900,ENSG00000068831,ENSG00000069966,ENSG00000070831,ENSG00000073009,ENSG00000078295,ENSG00000078369,ENSG00000081041,ENSG00000089159,ENSG00000096968,ENSG00000099942,ENSG00000100077,ENSG00000100485,ENSG00000101333,ENSG00000102882,ENSG00000103653,ENSG00000104365,ENSG00000104825,ENSG00000105639,ENSG00000107562,ENSG00000108688,ENSG00000108691,ENSG00000109272,ENSG00000111664,ENSG00000113263,ENSG00000114124,ENSG00000114353,ENSG00000114450,ENSG00000116473,ENSG00000117461,ENSG00000118689,ENSG00000120899,ENSG00000121807,ENSG00000121879,ENSG00000121966,ENSG00000124875,ENSG00000125388,ENSG00000127314,ENSG00000127928,ENSG00000127955,ENSG00000128340,ENSG00000129277,ENSG00000129946,ENSG00000131142,ENSG00000133703,ENSG00000134215,ENSG00000134318,ENSG00000136238,ENSG00000137077,ENSG00000137486,ENSG00000137841,ENSG00000138031,ENSG00000141480,ENSG00000141506,ENSG00000141968,ENSG00000142208,ENSG00000143184,ENSG00000143185,ENSG00000148082,ENSG00000149782,ENSG00000151882,ENSG00000155897,ENSG00000156234,ENSG00000160293,ENSG00000160683,ENSG00000160791,ENSG00000161570,ENSG00000161573,ENSG00000161574,ENSG00000161921,ENSG00000162104,ENSG00000163464,ENSG00000163734,ENSG00000163735,ENSG00000163736,ENSG00000163737,ENSG00000163823,ENSG00000163932,ENSG00000164742,ENSG00000165059,ENSG00000165178,ENSG00000167236,ENSG00000168243,ENSG00000168329,ENSG00000169248,ENSG00000169398,ENSG00000169429,ENSG00000171608,ENSG00000172156,ENSG00000172380,ENSG00000172724,ENSG00000173039,ENSG00000173578,ENSG00000173585,ENSG00000173757,ENSG00000174021,ENSG00000174233,ENSG00000176533,ENSG00000182621,ENSG00000183943,ENSG00000186469,ENSG00000186810,ENSG00000197262,ENSG00000205020,ENSG00000205021,ENSG00000213494,ENSG00000213927,ENSG00000242616	1.1620387962E0	3.63447E-5	1.41017E-3
hsa04150	37	51	6	947	0.63	31	18154	0.17	AKT2,FOXC1,FOXL1,HIF1A,MTOR,MZF1	ENSG00000017427,ENSG00000051382,ENSG00000063046,ENSG00000071242,ENSG00000072133,ENSG00000083290,ENSG00000102547,ENSG00000102882,ENSG00000103197,ENSG00000106615,ENSG00000112715,ENSG00000117461,ENSG00000117676,ENSG00000118046,ENSG00000119630,ENSG00000121879,ENSG00000125695,ENSG00000129965,ENSG00000132356,ENSG00000135930,ENSG00000135932,ENSG00000137154,ENSG00000141506,ENSG00000142208,ENSG00000162409,ENSG00000165197,ENSG00000165699,ENSG00000167965,ENSG00000171608,ENSG00000175634,ENSG00000187840	1.3111193726E0	9.28828E-3	3.81905E-2
hsa04210	77	92	9	944	0.94	68	18117	0.37	AKT2,CHP,CHUK,ELK1,FOXC1,FOXL1,IRAK2,MZF1,XIAP	ENSG00000002330,ENSG00000003400,ENSG00000003402,ENSG00000005249,ENSG00000006062,ENSG00000015475,ENSG00000023445,ENSG00000026103,ENSG00000051382,ENSG00000064012,ENSG00000067182,ENSG00000073009,ENSG00000087088,ENSG00000090376,ENSG00000100368,ENSG00000102871,ENSG00000104365,ENSG00000110330,ENSG00000115008,ENSG00000117461,ENSG00000117560,ENSG00000120868,ENSG00000120889,ENSG00000120910,ENSG00000121858,ENSG00000121879,ENSG00000127191,ENSG00000132906,ENSG00000134259,ENSG00000137275,ENSG00000138814,ENSG00000141506,ENSG00000141510,ENSG00000142208,ENSG00000149218,ENSG00000149311,ENSG00000156709,ENSG00000157036,ENSG00000160049,ENSG00000162909,ENSG00000164305,ENSG00000164399,ENSG00000165059,ENSG00000165806,ENSG00000166869,ENSG00000167136,ENSG00000168040,ENSG00000169598,ENSG00000171552,ENSG00000171608,ENSG00000172115,ENSG00000172936,ENSG00000173039,ENSG00000173530,ENSG00000173535,ENSG00000183943,ENSG00000185291,ENSG00000188386,ENSG00000198001,ENSG00000198400,ENSG00000204490,ENSG00000206439,ENSG00000221823,ENSG00000223952,ENSG00000228321,ENSG00000228849,ENSG00000230108,ENSG00000232810	932196.70899E-6	1.40741E-2	4.70753E-2
hsa04370	55	74	7	946	0.73	48	18137	0.26	AKT2,CHP,FOXC1,FOXL1,HRAS,MZF1,NRAS	ENSG00000002330,ENSG00000051382,ENSG00000063176,ENSG00000069764,ENSG00000070831,ENSG00000072736,ENSG00000089159,ENSG00000100078,ENSG00000100968,ENSG00000102882,ENSG00000112062,ENSG00000112715,ENSG00000117215,ENSG00000117461,ENSG00000120910,ENSG00000121879,ENSG00000123739,ENSG00000124181,ENSG00000126934,ENSG00000127472,ENSG00000128052,ENSG00000128340,ENSG00000129946,ENSG00000132906,ENSG00000133703,ENSG00000136238,ENSG00000138308,ENSG00000138814,ENSG00000141506,ENSG00000142208,ENSG00000154229,ENSG00000156711,ENSG00000158786,ENSG00000164867,ENSG00000166869,ENSG00000168970,ENSG00000169398,ENSG00000169750,ENSG00000170890,ENSG00000171608,ENSG00000184381,ENSG00000185386,ENSG00000187980,ENSG00000188130,ENSG00000188386,ENSG00000188784,ENSG00000197122,ENSG00000221823	1.0281758987E0	1.87733E-2	5.67826E-2
hsa04630	117	154	11	942	1.15	106	18079	0.58	AKT2,ELK1,FOXC1,FOXL1,IL2RB,MZF1,OSM,OSMR,PIM1,STAT2,TYK2	ENSG00000005339,ENSG00000016402,ENSG00000027697,ENSG00000033800,ENSG00000051382,ENSG00000077238,ENSG00000078043,ENSG00000091181,ENSG00000095752,ENSG00000096968,ENSG00000100368,ENSG00000100393,ENSG00000100485,ENSG00000103522,ENSG00000104432,ENSG00000105639,ENSG00000108342,ENSG00000109471,ENSG00000110324,ENSG00000110944,ENSG00000111536,ENSG00000111679,ENSG00000112576,ENSG00000112964,ENSG00000113494,ENSG00000113520,ENSG00000113525,ENSG00000115145,ENSG00000117461,ENSG00000118971,ENSG00000119535,ENSG00000120235,ENSG00000120242,ENSG00000120833,ENSG00000121879,ENSG00000122756,ENSG00000123496,ENSG00000127318,ENSG00000128342,ENSG00000130427,ENSG00000131724,ENSG00000134460,ENSG00000136158,ENSG00000136487,ENSG00000136488,ENSG00000136634,ENSG00000136738,ENSG00000137070,ENSG00000137080,ENSG00000138378,ENSG00000141506,ENSG00000142166,ENSG00000142208,ENSG00000142273,ENSG00000145777,ENSG00000147168,ENSG00000147873,ENSG00000147885,ENSG00000147896,ENSG00000150281,ENSG00000159110,ENSG00000159128,ENSG00000160712,ENSG00000162594,ENSG00000162891,ENSG00000162892,ENSG00000164056,ENSG00000164136,ENSG00000164399,ENSG00000164485,ENSG00000168811,ENSG00000168939,ENSG00000169194,ENSG00000171150,ENSG00000171552,ENSG00000171608,ENSG00000171855,ENSG00000172179,ENSG00000173757,ENSG00000174111,ENSG00000174697,ENSG00000177047,ENSG00000179295,ENSG00000180008,ENSG00000182393,ENSG00000183709,ENSG00000184557,ENSG00000185291,ENSG00000185338,ENSG00000185436,ENSG00000186803,ENSG00000187266,ENSG00000187678,ENSG00000188379,ENSG00000189162,ENSG00000197110,ENSG00000197919,ENSG00000198223,ENSG00000198369,ENSG00000205755,ENSG00000214042,ENSG00000228083,ENSG00000234829,ENSG00000236637,ENSG00000242689,ENSG00000243646	688957.22679E-6	3.15828E-2	7.5967E-2
hsa04660	80	114	10	943	1.05	70	18115	0.38	AKT2,CHP,CHUK,FOXC1,FOXL1,HRAS,MZF1,NCK2,NRAS,PAK1	ENSG00000006062,ENSG00000010610,ENSG00000010810,ENSG00000051382,ENSG00000065675,ENSG00000067560,ENSG00000070831,ENSG00000072736,ENSG00000073009,ENSG00000075711,ENSG00000076984,ENSG00000077264,ENSG00000100351,ENSG00000100485,ENSG00000100968,ENSG00000101349,ENSG00000102882,ENSG00000104365,ENSG00000104825,ENSG00000109471,ENSG00000111679,ENSG00000112062,ENSG00000113263,ENSG00000113520,ENSG00000113525,ENSG00000115085,ENSG00000117461,ENSG00000120910,ENSG00000121879,ENSG00000124181,ENSG00000126934,ENSG00000130669,ENSG00000133703,ENSG00000134215,ENSG00000135446,ENSG00000135605,ENSG00000136634,ENSG00000137843,ENSG00000138814,ENSG00000141506,ENSG00000141968,ENSG00000142208,ENSG00000142273,ENSG00000152256,ENSG00000156711,ENSG00000158092,ENSG00000160293,ENSG00000160654,ENSG00000163600,ENSG00000166869,ENSG00000167286,ENSG00000171608,ENSG00000172116,ENSG00000173039,ENSG00000178562,ENSG00000180370,ENSG00000182866,ENSG00000185386,ENSG00000188130,ENSG00000188386,ENSG00000198286,ENSG00000204490,ENSG00000206439,ENSG00000213658,ENSG00000221823,ENSG00000223952,ENSG00000228321,ENSG00000228849,ENSG00000230108,ENSG00000232810	1.0095191716E0	6.24096E-3	3.02687E-2
hsa04662	47	74	8	945	0.84	39	18146	0.21	AKT2,CHP,CHUK,FOXC1,FOXL1,HRAS,MZF1,NRAS	ENSG00000010671,ENSG00000012124,ENSG00000051382,ENSG00000072694,ENSG00000072736,ENSG00000073009,ENSG00000095585,ENSG00000100485,ENSG00000100968,ENSG00000102882,ENSG00000104365,ENSG00000104825,ENSG00000105369,ENSG00000110651,ENSG00000111679,ENSG00000117461,ENSG00000120910,ENSG00000121879,ENSG00000126934,ENSG00000128340,ENSG00000133703,ENSG00000134215,ENSG00000136238,ENSG00000137101,ENSG00000138814,ENSG00000141506,ENSG00000141968,ENSG00000142208,ENSG00000160293,ENSG00000166869,ENSG00000168918,ENSG00000169750,ENSG00000171608,ENSG00000173039,ENSG00000177455,ENSG00000185885,ENSG00000188386,ENSG00000198286,ENSG00000221823	1.3709003978E0	2.04674E-3	1.58827E-2
hsa04666	66	92	7	946	0.73	59	18126	0.32	AKT2,FOXC1,FOXL1,MARCKS,MZF1,PAK1,WASL	ENSG00000006747,ENSG00000015285,ENSG00000033327,ENSG00000051382,ENSG00000063176,ENSG00000067113,ENSG00000070831,ENSG00000072694,ENSG00000075651,ENSG00000078053,ENSG00000079805,ENSG00000087470,ENSG00000088280,ENSG00000099942,ENSG00000102882,ENSG00000106683,ENSG00000106976,ENSG00000107242,ENSG00000112290,ENSG00000117461,ENSG00000121879,ENSG00000124181,ENSG00000125753,ENSG00000128340,ENSG00000130429,ENSG00000132970,ENSG00000134215,ENSG00000136238,ENSG00000136950,ENSG00000141506,ENSG00000141720,ENSG00000141968,ENSG00000142208,ENSG00000143226,ENSG00000143398,ENSG00000145555,ENSG00000148180,ENSG00000150337,ENSG00000151693,ENSG00000153317,ENSG00000154229,ENSG00000158195,ENSG00000160293,ENSG00000163466,ENSG00000163932,ENSG00000165178,ENSG00000165410,ENSG00000165527,ENSG00000168907,ENSG00000168918,ENSG00000171608,ENSG00000172757,ENSG00000175130,ENSG00000175634,ENSG00000184381,ENSG00000186111,ENSG00000197959,ENSG00000203747,ENSG00000213658	821232.78671E-6	4.52844E-2	9.34594E-2
hsa04722	89	126	11	942	1.15	78	18107	0.43	AKT2,FOXC1,FOXL1,HRAS,IRAK2,MAP3K1,MZF1,NRAS,SHC1,YWHAG,YWHAZ	ENSG00000002330,ENSG00000051382,ENSG00000058404,ENSG00000064300,ENSG00000067560,ENSG00000070831,ENSG00000071242,ENSG00000072133,ENSG00000076984,ENSG00000087088,ENSG00000090376,ENSG00000097007,ENSG00000099942,ENSG00000100485,ENSG00000102882,ENSG00000103653,ENSG00000104312,ENSG00000104365,ENSG00000104825,ENSG00000107263,ENSG00000109339,ENSG00000111252,ENSG00000112062,ENSG00000116473,ENSG00000117461,ENSG00000117560,ENSG00000117676,ENSG00000118689,ENSG00000121879,ENSG00000124181,ENSG00000126934,ENSG00000127314,ENSG00000128245,ENSG00000128272,ENSG00000129946,ENSG00000133124,ENSG00000133703,ENSG00000134259,ENSG00000134308,ENSG00000134313,ENSG00000136238,ENSG00000137764,ENSG00000141506,ENSG00000141510,ENSG00000141522,ENSG00000142208,ENSG00000143933,ENSG00000145349,ENSG00000148053,ENSG00000148082,ENSG00000152256,ENSG00000156711,ENSG00000160014,ENSG00000160999,ENSG00000162302,ENSG00000163932,ENSG00000166225,ENSG00000167744,ENSG00000169047,ENSG00000169885,ENSG00000171606,ENSG00000171608,ENSG00000173039,ENSG00000175104,ENSG00000176697,ENSG00000178188,ENSG00000178372,ENSG00000179222,ENSG00000179295,ENSG00000185386,ENSG00000185652,ENSG00000185950,ENSG00000188130,ENSG00000197442,ENSG00000198001,ENSG00000198400,ENSG00000198668,ENSG00000198909	997235.05435E-6	4.61435E-3	2.54464E-2
