#term	term_size	term_size_in_genome	list1_positives	list1_negatives	list1_percentage	list2_positives	list2_negatives	list2_percentage	list1_positive_ids	list2_positive_ids	odds_ratio_log	pvalue	adj_pvalue
REACT_11061	220	220	22	969	2.22	198	22258	0.88	ADCY9,APH1B,ARHGEF12,ARHGEF17,CRK,DUSP3,DUSP6,FOXO4,HOXA5,MAPK3,MYD88,NFKBIA,NR4A1,PPP2CB,PREX1,PRKAR1A,PRKCD,PRKCE,RHOA,RIPK2,RPS6KA3,SOX17	ENSG00000002330,ENSG00000005249,ENSG00000006125,ENSG00000006451,ENSG00000038382,ENSG00000040608,ENSG00000042753,ENSG00000051382,ENSG00000058335,ENSG00000064300,ENSG00000066248,ENSG00000068305,ENSG00000071242,ENSG00000072062,ENSG00000076928,ENSG00000078295,ENSG00000078549,ENSG00000080815,ENSG00000081189,ENSG00000081913,ENSG00000082701,ENSG00000089820,ENSG00000090924,ENSG00000096433,ENSG00000099139,ENSG00000100030,ENSG00000100246,ENSG00000100485,ENSG00000100784,ENSG00000101255,ENSG00000101977,ENSG00000102302,ENSG00000102606,ENSG00000103197,ENSG00000104880,ENSG00000105221,ENSG00000105568,ENSG00000105647,ENSG00000105695,ENSG00000105723,ENSG00000106144,ENSG00000106976,ENSG00000107263,ENSG00000107295,ENSG00000107643,ENSG00000108270,ENSG00000108953,ENSG00000109320,ENSG00000110851,ENSG00000111276,ENSG00000112062,ENSG00000112640,ENSG00000113319,ENSG00000113575,ENSG00000114302,ENSG00000114346,ENSG00000114738,ENSG00000115252,ENSG00000115310,ENSG00000115904,ENSG00000116473,ENSG00000116478,ENSG00000116584,ENSG00000117020,ENSG00000117362,ENSG00000117676,ENSG00000118260,ENSG00000118689,ENSG00000119487,ENSG00000120875,ENSG00000121281,ENSG00000121879,ENSG00000122705,ENSG00000123104,ENSG00000123268,ENSG00000123360,ENSG00000124181,ENSG00000124762,ENSG00000126217,ENSG00000126767,ENSG00000126861,ENSG00000126934,ENSG00000127084,ENSG00000128271,ENSG00000129467,ENSG00000129675,ENSG00000129946,ENSG00000130762,ENSG00000131089,ENSG00000132155,ENSG00000132694,ENSG00000132906,ENSG00000133703,ENSG00000134215,ENSG00000134259,ENSG00000134313,ENSG00000135587,ENSG00000135679,ENSG00000136002,ENSG00000136238,ENSG00000137713,ENSG00000137764,ENSG00000138031,ENSG00000139132,ENSG00000140479,ENSG00000140564,ENSG00000140992,ENSG00000141367,ENSG00000141433,ENSG00000141522,ENSG00000141968,ENSG00000142208,ENSG00000142856,ENSG00000142875,ENSG00000143199,ENSG00000143622,ENSG00000143801,ENSG00000143933,ENSG00000143947,ENSG00000144118,ENSG00000145675,ENSG00000146192,ENSG00000146426,ENSG00000148053,ENSG00000150907,ENSG00000150991,ENSG00000150995,ENSG00000151694,ENSG00000152214,ENSG00000152495,ENSG00000153094,ENSG00000154358,ENSG00000154678,ENSG00000155897,ENSG00000156299,ENSG00000156395,ENSG00000156711,ENSG00000157764,ENSG00000159445,ENSG00000159842,ENSG00000160014,ENSG00000160145,ENSG00000160271,ENSG00000160293,ENSG00000160691,ENSG00000161011,ENSG00000161203,ENSG00000162736,ENSG00000162889,ENSG00000163558,ENSG00000163947,ENSG00000164086,ENSG00000164305,ENSG00000164327,ENSG00000164742,ENSG00000165059,ENSG00000166225,ENSG00000166484,ENSG00000166681,ENSG00000166913,ENSG00000167965,ENSG00000168610,ENSG00000169032,ENSG00000169047,ENSG00000169783,ENSG00000170315,ENSG00000170776,ENSG00000171680,ENSG00000171720,ENSG00000171862,ENSG00000173020,ENSG00000173039,ENSG00000173175,ENSG00000173848,ENSG00000174233,ENSG00000174775,ENSG00000175104,ENSG00000175634,ENSG00000177885,ENSG00000179222,ENSG00000183020,ENSG00000184216,ENSG00000185386,ENSG00000185950,ENSG00000188130,ENSG00000188191,ENSG00000196591,ENSG00000196961,ENSG00000197122,ENSG00000198400,ENSG00000198668,ENSG00000198793,ENSG00000204673,ENSG00000205155,ENSG00000205726,ENSG00000213281,ENSG00000213341,ENSG00000221983	936967.58431E-6	1.71345E-4	1.8848E-3
REACT_15295	83	83	9	982	0.91	74	22382	0.33	ADCY9,GNA11,GNA14,GNAI2,GNAQ,GNG7,HOXA5,PPP2CB,PRKAR1A	ENSG00000005249,ENSG00000060558,ENSG00000065135,ENSG00000065989,ENSG00000069966,ENSG00000072062,ENSG00000078295,ENSG00000078369,ENSG00000087258,ENSG00000096433,ENSG00000101327,ENSG00000101333,ENSG00000105568,ENSG00000105650,ENSG00000107758,ENSG00000111664,ENSG00000112038,ENSG00000112640,ENSG00000113448,ENSG00000113575,ENSG00000114302,ENSG00000114349,ENSG00000114450,ENSG00000115138,ENSG00000115252,ENSG00000116711,ENSG00000118260,ENSG00000120910,ENSG00000121281,ENSG00000123104,ENSG00000123360,ENSG00000127588,ENSG00000127920,ENSG00000127928,ENSG00000127955,ENSG00000128266,ENSG00000129467,ENSG00000131771,ENSG00000134183,ENSG00000137713,ENSG00000137841,ENSG00000138031,ENSG00000138814,ENSG00000141404,ENSG00000142875,ENSG00000143199,ENSG00000143933,ENSG00000149782,ENSG00000150995,ENSG00000152495,ENSG00000154678,ENSG00000155897,ENSG00000160014,ENSG00000162188,ENSG00000164742,ENSG00000164885,ENSG00000165059,ENSG00000167083,ENSG00000167414,ENSG00000168243,ENSG00000172354,ENSG00000172380,ENSG00000172531,ENSG00000173020,ENSG00000173175,ENSG00000174021,ENSG00000174233,ENSG00000182621,ENSG00000184588,ENSG00000186469,ENSG00000188191,ENSG00000198668,ENSG00000221823,ENSG00000242616	1.0195805192E0	8.3098E-3	6.09385E-2
REACT_11044	125	126	17	974	1.72	108	22348	0.48	ARAP1,ARAP2,ARHGAP18,ARHGAP29,ARHGDIB,ARHGEF12,ARHGEF17,CDGAP,HOXA5,PREX1,RHOA,RHOB,RHOBTB2,RHOG,RHOJ,RHOU,SRGAP2	ENSG00000004777,ENSG00000006740,ENSG00000017797,ENSG00000024526,ENSG00000031003,ENSG00000038382,ENSG00000047648,ENSG00000057608,ENSG00000058335,ENSG00000066248,ENSG00000066933,ENSG00000070831,ENSG00000071205,ENSG00000072422,ENSG00000075884,ENSG00000088756,ENSG00000089639,ENSG00000089820,ENSG00000090924,ENSG00000097096,ENSG00000099331,ENSG00000100485,ENSG00000100852,ENSG00000101977,ENSG00000102302,ENSG00000102606,ENSG00000104140,ENSG00000104880,ENSG00000105137,ENSG00000105647,ENSG00000106069,ENSG00000113319,ENSG00000114346,ENSG00000115904,ENSG00000116584,ENSG00000119729,ENSG00000120318,ENSG00000121690,ENSG00000122126,ENSG00000123329,ENSG00000124143,ENSG00000125733,ENSG00000126217,ENSG00000126858,ENSG00000127084,ENSG00000128340,ENSG00000128656,ENSG00000128805,ENSG00000129675,ENSG00000130052,ENSG00000130762,ENSG00000131089,ENSG00000132694,ENSG00000133121,ENSG00000134215,ENSG00000134909,ENSG00000136002,ENSG00000136238,ENSG00000137727,ENSG00000138639,ENSG00000138640,ENSG00000138757,ENSG00000139132,ENSG00000139725,ENSG00000140750,ENSG00000140983,ENSG00000141522,ENSG00000141968,ENSG00000145819,ENSG00000146192,ENSG00000146426,ENSG00000147256,ENSG00000147799,ENSG00000154358,ENSG00000155366,ENSG00000156299,ENSG00000159842,ENSG00000160007,ENSG00000160145,ENSG00000160293,ENSG00000161800,ENSG00000163219,ENSG00000163947,ENSG00000164691,ENSG00000164741,ENSG00000165322,ENSG00000168421,ENSG00000169750,ENSG00000170776,ENSG00000171680,ENSG00000173156,ENSG00000173848,ENSG00000175220,ENSG00000175899,ENSG00000180448,ENSG00000186517,ENSG00000186654,ENSG00000186716,ENSG00000187951,ENSG00000196220,ENSG00000196935,ENSG00000198826,ENSG00000203879,ENSG00000204084,ENSG00000205726,ENSG00000213390,ENSG00000241484,ENSG00000242173	1.2841629239E0	2.08124E-5	4.57873E-4
REACT_18266	150	150	22	969	2.22	128	22328	0.57	ARHGEF12,CLASP2,COL4A4,DPYSL2,EGR1,EVL,HOXA5,ITGA1,MAPK3,MYH10,MYL6,PLXND1,RHOA,RHOB,RHOG,RND1,ROCK1,RRAS,SOX17,SPTBN1,SRGAP2,TLN1	ENSG00000006607,ENSG00000010810,ENSG00000011600,ENSG00000049089,ENSG00000063660,ENSG00000070087,ENSG00000070182,ENSG00000070831,ENSG00000071051,ENSG00000072832,ENSG00000075213,ENSG00000076356,ENSG00000077264,ENSG00000077782,ENSG00000080824,ENSG00000081237,ENSG00000082701,ENSG00000092421,ENSG00000092758,ENSG00000095970,ENSG00000096384,ENSG00000097007,ENSG00000099250,ENSG00000100030,ENSG00000100345,ENSG00000100485,ENSG00000100784,ENSG00000101335,ENSG00000101349,ENSG00000105357,ENSG00000105976,ENSG00000106683,ENSG00000108518,ENSG00000108821,ENSG00000112186,ENSG00000112280,ENSG00000112902,ENSG00000113532,ENSG00000113657,ENSG00000114554,ENSG00000115904,ENSG00000117407,ENSG00000118260,ENSG00000118680,ENSG00000125650,ENSG00000125753,ENSG00000125861,ENSG00000126934,ENSG00000128340,ENSG00000130635,ENSG00000130669,ENSG00000130827,ENSG00000131236,ENSG00000132155,ENSG00000132670,ENSG00000132694,ENSG00000133392,ENSG00000133703,ENSG00000134318,ENSG00000134871,ENSG00000136040,ENSG00000136238,ENSG00000137101,ENSG00000137843,ENSG00000137872,ENSG00000137877,ENSG00000138623,ENSG00000139219,ENSG00000140557,ENSG00000141736,ENSG00000142156,ENSG00000142173,ENSG00000143322,ENSG00000145147,ENSG00000147799,ENSG00000149269,ENSG00000149294,ENSG00000150093,ENSG00000151640,ENSG00000151892,ENSG00000154134,ENSG00000154380,ENSG00000155366,ENSG00000157851,ENSG00000158092,ENSG00000160007,ENSG00000160460,ENSG00000163359,ENSG00000163554,ENSG00000164050,ENSG00000164692,ENSG00000164885,ENSG00000166913,ENSG00000168542,ENSG00000168546,ENSG00000168621,ENSG00000169031,ENSG00000169032,ENSG00000169398,ENSG00000169855,ENSG00000170381,ENSG00000171119,ENSG00000171867,ENSG00000172752,ENSG00000172757,ENSG00000173898,ENSG00000174775,ENSG00000176749,ENSG00000177885,ENSG00000180370,ENSG00000182511,ENSG00000182541,ENSG00000184144,ENSG00000185008,ENSG00000186111,ENSG00000187764,ENSG00000188153,ENSG00000188157,ENSG00000196189,ENSG00000196220,ENSG00000196935,ENSG00000197122,ENSG00000197694,ENSG00000198753,ENSG00000204262,ENSG00000206384,ENSG00000213281,ENSG00000221866	1.3763443528E0	3.60564E-7	2.37972E-5
REACT_604	255	255	22	969	2.22	233	22223	1.04	ATP1B2,CD36,CD47,CRK,ESAM,F2RL3,GAS6,GNAI2,GNAQ,GNG7,ITGAX,LCP2,PDGFB,PRKCB,PTPN1,SERPING1,SRGN,TBXA2R,TLN1,TMSB4X,TREM1,VWF	ENSG00000003436,ENSG00000005844,ENSG00000005884,ENSG00000005893,ENSG00000005961,ENSG00000010278,ENSG00000010810,ENSG00000011422,ENSG00000017427,ENSG00000019991,ENSG00000021488,ENSG00000035403,ENSG00000044574,ENSG00000050820,ENSG00000051382,ENSG00000056345,ENSG00000057593,ENSG00000065135,ENSG00000066294,ENSG00000067606,ENSG00000068831,ENSG00000069849,ENSG00000069966,ENSG00000071127,ENSG00000072110,ENSG00000077420,ENSG00000077522,ENSG00000078369,ENSG00000079337,ENSG00000082074,ENSG00000084674,ENSG00000088053,ENSG00000088926,ENSG00000089012,ENSG00000091409,ENSG00000091428,ENSG00000091513,ENSG00000091879,ENSG00000092068,ENSG00000092969,ENSG00000096070,ENSG00000096433,ENSG00000100023,ENSG00000100156,ENSG00000101280,ENSG00000101981,ENSG00000102265,ENSG00000103064,ENSG00000103257,ENSG00000103496,ENSG00000103653,ENSG00000104112,ENSG00000104368,ENSG00000105221,ENSG00000105329,ENSG00000105647,ENSG00000105695,ENSG00000105851,ENSG00000105974,ENSG00000106366,ENSG00000108405,ENSG00000108518,ENSG00000108561,ENSG00000108821,ENSG00000110876,ENSG00000111664,ENSG00000111679,ENSG00000112062,ENSG00000112715,ENSG00000113140,ENSG00000113296,ENSG00000113889,ENSG00000113905,ENSG00000114450,ENSG00000115232,ENSG00000115290,ENSG00000115414,ENSG00000115718,ENSG00000115904,ENSG00000115956,ENSG00000116266,ENSG00000116473,ENSG00000116711,ENSG00000116815,ENSG00000116824,ENSG00000117020,ENSG00000117091,ENSG00000117525,ENSG00000117601,ENSG00000118137,ENSG00000118596,ENSG00000119699,ENSG00000120063,ENSG00000120156,ENSG00000120885,ENSG00000121879,ENSG00000122194,ENSG00000122223,ENSG00000122861,ENSG00000123104,ENSG00000124181,ENSG00000124491,ENSG00000126218,ENSG00000126583,ENSG00000127314,ENSG00000127588,ENSG00000127824,ENSG00000127920,ENSG00000127928,ENSG00000127955,ENSG00000128595,ENSG00000130402,ENSG00000130876,ENSG00000131187,ENSG00000131236,ENSG00000133703,ENSG00000134215,ENSG00000135404,ENSG00000137509,ENSG00000137801,ENSG00000138448,ENSG00000138722,ENSG00000138798,ENSG00000140992,ENSG00000141506,ENSG00000141526,ENSG00000141738,ENSG00000141968,ENSG00000142168,ENSG00000142192,ENSG00000142208,ENSG00000143153,ENSG00000143278,ENSG00000143768,ENSG00000143933,ENSG00000145675,ENSG00000146535,ENSG00000147443,ENSG00000147507,ENSG00000149925,ENSG00000150093,ENSG00000150594,ENSG00000150630,ENSG00000150995,ENSG00000151012,ENSG00000152689,ENSG00000153208,ENSG00000154188,ENSG00000154229,ENSG00000154639,ENSG00000154721,ENSG00000155380,ENSG00000155465,ENSG00000158769,ENSG00000158869,ENSG00000160014,ENSG00000160255,ENSG00000160293,ENSG00000160593,ENSG00000160691,ENSG00000161638,ENSG00000162188,ENSG00000163631,ENSG00000163736,ENSG00000163737,ENSG00000164171,ENSG00000164220,ENSG00000164344,ENSG00000164692,ENSG00000165025,ENSG00000165197,ENSG00000166086,ENSG00000167083,ENSG00000167414,ENSG00000167711,ENSG00000168003,ENSG00000168243,ENSG00000168918,ENSG00000169231,ENSG00000169313,ENSG00000169398,ENSG00000169704,ENSG00000169860,ENSG00000169896,ENSG00000171557,ENSG00000171560,ENSG00000171564,ENSG00000172270,ENSG00000172354,ENSG00000172380,ENSG00000172757,ENSG00000173391,ENSG00000173511,ENSG00000174021,ENSG00000174083,ENSG00000174175,ENSG00000174775,ENSG00000175899,ENSG00000176105,ENSG00000177885,ENSG00000178726,ENSG00000178732,ENSG00000179295,ENSG00000180210,ENSG00000181104,ENSG00000182866,ENSG00000184160,ENSG00000184500,ENSG00000185010,ENSG00000185245,ENSG00000186340,ENSG00000186469,ENSG00000188404,ENSG00000196262,ENSG00000196611,ENSG00000196834,ENSG00000196924,ENSG00000197122,ENSG00000197249,ENSG00000197461,ENSG00000197471,ENSG00000197632,ENSG00000197746,ENSG00000197766,ENSG00000197943,ENSG00000198053,ENSG00000198668,ENSG00000198734,ENSG00000198910,ENSG00000203618,ENSG00000213281,ENSG00000222040,ENSG00000242616	772622.45548E-6	1.28195E-3	1.05761E-2
REACT_6900	354	414	33	958	3.33	321	22135	1.43	ATP1B2,B2M,C1QA,C1QB,C2,C5,CD34,CD4,CD47,ESAM,EVL,GAS6,HLA-DMA,HLA-DMB,HLA-DPB1,HLA-DQB1,HLA-DRA,HLA-E,HOXA5,ICAM1,ITGAX,JUN,LCP2,MAP3K8,MYD88,NFKBIA,PAG1,PPP2CB,RIPK1,RIPK2,SOX17,TLR7,TREM1	ENSG00000005844,ENSG00000005884,ENSG00000006062,ENSG00000009724,ENSG00000010810,ENSG00000011600,ENSG00000015285,ENSG00000021488,ENSG00000021852,ENSG00000039068,ENSG00000039537,ENSG00000051382,ENSG00000055208,ENSG00000056345,ENSG00000065675,ENSG00000066027,ENSG00000066294,ENSG00000068971,ENSG00000069849,ENSG00000070831,ENSG00000072694,ENSG00000073008,ENSG00000073009,ENSG00000076662,ENSG00000077150,ENSG00000078142,ENSG00000078304,ENSG00000081237,ENSG00000082074,ENSG00000084674,ENSG00000088053,ENSG00000089012,ENSG00000091409,ENSG00000091879,ENSG00000091972,ENSG00000092068,ENSG00000095015,ENSG00000099866,ENSG00000100023,ENSG00000100030,ENSG00000100156,ENSG00000100324,ENSG00000100351,ENSG00000101017,ENSG00000101280,ENSG00000101916,ENSG00000102245,ENSG00000103064,ENSG00000103257,ENSG00000103653,ENSG00000104825,ENSG00000104972,ENSG00000104974,ENSG00000105221,ENSG00000105371,ENSG00000105568,ENSG00000105609,ENSG00000105647,ENSG00000105695,ENSG00000105974,ENSG00000107643,ENSG00000108622,ENSG00000108821,ENSG00000109320,ENSG00000109943,ENSG00000110651,ENSG00000110876,ENSG00000111679,ENSG00000111981,ENSG00000112640,ENSG00000112936,ENSG00000113263,ENSG00000113575,ENSG00000113600,ENSG00000114013,ENSG00000115085,ENSG00000115232,ENSG00000115290,ENSG00000115414,ENSG00000115718,ENSG00000115904,ENSG00000115966,ENSG00000116815,ENSG00000116824,ENSG00000117020,ENSG00000117091,ENSG00000117281,ENSG00000118596,ENSG00000119487,ENSG00000120156,ENSG00000120217,ENSG00000121594,ENSG00000121879,ENSG00000122223,ENSG00000124181,ENSG00000124208,ENSG00000125498,ENSG00000125730,ENSG00000125753,ENSG00000126264,ENSG00000126456,ENSG00000126759,ENSG00000127241,ENSG00000127666,ENSG00000129988,ENSG00000130202,ENSG00000130876,ENSG00000131015,ENSG00000131019,ENSG00000131042,ENSG00000133703,ENSG00000134539,ENSG00000134545,ENSG00000135341,ENSG00000136238,ENSG00000136869,ENSG00000137403,ENSG00000137462,ENSG00000137713,ENSG00000138448,ENSG00000139187,ENSG00000139626,ENSG00000140992,ENSG00000141526,ENSG00000141738,ENSG00000141968,ENSG00000142208,ENSG00000142867,ENSG00000143153,ENSG00000143947,ENSG00000145675,ENSG00000147443,ENSG00000147507,ENSG00000149269,ENSG00000150093,ENSG00000150455,ENSG00000150637,ENSG00000150991,ENSG00000151012,ENSG00000153208,ENSG00000153283,ENSG00000153563,ENSG00000154188,ENSG00000154380,ENSG00000154589,ENSG00000154639,ENSG00000154721,ENSG00000155380,ENSG00000155465,ENSG00000157131,ENSG00000157873,ENSG00000158092,ENSG00000158769,ENSG00000158869,ENSG00000159189,ENSG00000159403,ENSG00000160223,ENSG00000160255,ENSG00000160593,ENSG00000160654,ENSG00000160691,ENSG00000161638,ENSG00000162692,ENSG00000163519,ENSG00000163599,ENSG00000163600,ENSG00000163606,ENSG00000164327,ENSG00000164342,ENSG00000164520,ENSG00000164692,ENSG00000165471,ENSG00000166086,ENSG00000167286,ENSG00000167633,ENSG00000167965,ENSG00000168003,ENSG00000168384,ENSG00000168918,ENSG00000169896,ENSG00000170315,ENSG00000170458,ENSG00000171862,ENSG00000172116,ENSG00000172175,ENSG00000172270,ENSG00000173039,ENSG00000173391,ENSG00000174123,ENSG00000174125,ENSG00000174130,ENSG00000174175,ENSG00000174775,ENSG00000175104,ENSG00000176105,ENSG00000176919,ENSG00000177455,ENSG00000177885,ENSG00000177889,ENSG00000178562,ENSG00000178726,ENSG00000179295,ENSG00000180210,ENSG00000180370,ENSG00000182326,ENSG00000182866,ENSG00000183735,ENSG00000184216,ENSG00000184500,ENSG00000185885,ENSG00000186265,ENSG00000186818,ENSG00000187554,ENSG00000188389,ENSG00000188404,ENSG00000196101,ENSG00000196126,ENSG00000196262,ENSG00000196455,ENSG00000196610,ENSG00000196611,ENSG00000196735,ENSG00000197122,ENSG00000197471,ENSG00000197646,ENSG00000197766,ENSG00000198001,ENSG00000198053,ENSG00000198286,ENSG00000198793,ENSG00000198821,ENSG00000198851,ENSG00000198910,ENSG00000203747,ENSG00000204252,ENSG00000204276,ENSG00000204520,ENSG00000204525,ENSG00000204577,ENSG00000204632,ENSG00000206239,ENSG00000206240,ENSG00000206291,ENSG00000206292,ENSG00000206305,ENSG00000206306,ENSG00000206435,ENSG00000206449,ENSG00000206450,ENSG00000206452,ENSG00000206503,ENSG00000206506,ENSG00000206509,ENSG00000211762,ENSG00000213281,ENSG00000213341,ENSG00000213658,ENSG00000213809,ENSG00000215764,ENSG00000221983,ENSG00000223520,ENSG00000223532,ENSG00000223793,ENSG00000224103,ENSG00000224320,ENSG00000224608,ENSG00000225691,ENSG00000227772,ENSG00000228163,ENSG00000228254,ENSG00000228284,ENSG00000228299,ENSG00000228813,ENSG00000228964,ENSG00000229074,ENSG00000229164,ENSG00000229215,ENSG00000229493,ENSG00000229685,ENSG00000229698,ENSG00000230141,ENSG00000230413,ENSG00000230463,ENSG00000231225,ENSG00000231389,ENSG00000231486,ENSG00000231558,ENSG00000231679,ENSG00000232126,ENSG00000232957,ENSG00000232962,ENSG00000233051,ENSG00000233095,ENSG00000233192,ENSG00000234745,ENSG00000235220,ENSG00000235346,ENSG00000235657,ENSG00000235680,ENSG00000235744,ENSG00000235844,ENSG00000236177,ENSG00000236884,ENSG00000237216,ENSG00000237508,ENSG00000237541,ENSG00000239457,ENSG00000239732,ENSG00000239754,ENSG00000240403,ENSG00000241106,ENSG00000241386,ENSG00000241534,ENSG00000241910,ENSG00000242335,ENSG00000243414,ENSG00000243570,ENSG00000243612,ENSG00000243649,ENSG00000243772,ENSG00000244731	865134.00553E-6	1.99654E-5	4.57873E-4
REACT_12034	23	23	7	984	0.71	16	22440	0.07	BMP2,BMPR2,SMAD6,SMAD7,SOX17,UBE2D3,ZFYVE16	ENSG00000072401,ENSG00000101938,ENSG00000107779,ENSG00000108854,ENSG00000113658,ENSG00000114739,ENSG00000120693,ENSG00000121989,ENSG00000138696,ENSG00000141646,ENSG00000147869,ENSG00000157933,ENSG00000170365,ENSG00000180875,ENSG00000183691,ENSG00000198742	2.3002958894E0	3.18885E-5	5.26161E-4
REACT_13552	88	88	12	979	1.21	76	22380	0.34	COL4A4,CRK,EGR1,ICAM1,ITGA1,ITGA9,ITGAX,LAMC3,LCP2,PTPN1,TLN1,VWF	ENSG00000005844,ENSG00000005884,ENSG00000005961,ENSG00000010810,ENSG00000029559,ENSG00000039068,ENSG00000041982,ENSG00000050820,ENSG00000056345,ENSG00000068831,ENSG00000076662,ENSG00000077420,ENSG00000077943,ENSG00000079337,ENSG00000082074,ENSG00000082781,ENSG00000083457,ENSG00000088053,ENSG00000091136,ENSG00000091409,ENSG00000091428,ENSG00000099866,ENSG00000101680,ENSG00000103653,ENSG00000105371,ENSG00000105855,ENSG00000108622,ENSG00000108821,ENSG00000109072,ENSG00000115221,ENSG00000115232,ENSG00000115414,ENSG00000115904,ENSG00000116473,ENSG00000118785,ENSG00000127314,ENSG00000130702,ENSG00000132470,ENSG00000134871,ENSG00000135424,ENSG00000135862,ENSG00000137801,ENSG00000137809,ENSG00000138448,ENSG00000139219,ENSG00000139626,ENSG00000143127,ENSG00000147507,ENSG00000150093,ENSG00000152689,ENSG00000154721,ENSG00000156886,ENSG00000158769,ENSG00000158869,ENSG00000160255,ENSG00000160593,ENSG00000161638,ENSG00000162692,ENSG00000164171,ENSG00000164692,ENSG00000165025,ENSG00000166086,ENSG00000166147,ENSG00000169031,ENSG00000169398,ENSG00000169896,ENSG00000171557,ENSG00000171560,ENSG00000171564,ENSG00000172037,ENSG00000172270,ENSG00000177885,ENSG00000188153,ENSG00000196569,ENSG00000197122,ENSG00000197943	1.2835646488E0	3.23712E-4	3.05214E-3
REACT_11184	18	18	6	985	0.61	12	22444	0.05	STX11,STX12,STX2,STX3,STX7,VAMP2	ENSG00000067715,ENSG00000099365,ENSG00000103496,ENSG00000104915,ENSG00000106089,ENSG00000124222,ENSG00000132639,ENSG00000135823,ENSG00000139190,ENSG00000143858,ENSG00000162236,ENSG00000170310	2.4329897751E0	6.72861E-5	8.88177E-4
